Name,Gender
Alexander Bogdanov,Male
Alexander Lerner,Male
Alfred Radcliffe-Brown,Male
Allenna Leonard,Unknown
Anatol Rapoport,Male
Anthony Judge,Male
Anthony Stafford Beer,Male
Anthony Wilden,Male
Barbara J. Grosz,Female
Buckminster Fuller,Unknown
Béla H. Bánáthy,Male
C. West Churchman,Unknown
Charles A. S. Hall,Male
Claude Bernard,Male
Claude Shannon,Male
Donella Meadows,Female
Edsger W. Dijkstra,Unknown
Edward Norton Lorenz,Male
Eric Trist,Male
Erich von Holst,Male
Ernst von Glasersfeld,Male
Faina Mihajlovna Kirillova,Female
Francis Heylighen,Male
Francisco Varela,Male
Fred Emery,Male
Frederic Vester,Male
Genevieve Bell,Female
Geoffrey Vickers,Male
George Dantzig,Male
George Klir,Male
Gordon Pask,Male
Gordon S. Brown,Male
Gregory Bateson,Male
Heiner Benking,Male
Heinz von Foerster,Male
Howard T. Odum,Male
Humberto Maturana,Male
I. A. Richards,Unknown
Igor Aleksander,Male
Jacque Fresco,Female
Jakob Johann von Uexküll,Male
James Grier Miller,Male
James J. Kay,Male
Jason Jixuan Hu,Male
Jay Wright Forrester,Male
Jennifer Wilby,Female
John N. Warfield,Male
John Seddon,Male
Kathleen Carley,Female
Kenneth E. Boulding,Male
Kevin Warwick,Male
Lydia Kavraki,Female
Maleyka Abbaszadeh,Unknown
Manuela M. Veloso,Female
Margaret Boden,Female
Margaret Mead,Female
Marian Mazur,Male
Markus Schwaninger,Male
Mary Cartwright,Female
Matjaz Mulej,Unknown
Mihajlo D. Mesarovic,Male
Mike Jackson (systems scientist),Male
Murray Bowen,Male
N. Katherine Hayles,Unknown
Niklas Luhmann,Male
Norbert Wiener,Male
Peter Senge,Male
Petro Grigorenko,Male
Qian Xuesen,Unknown
Radhika Nagpal,Female
Ranulph Glanville,Unknown
Richard E. Bellman,Male
Robert Trappl,Male
Russell L. Ackoff,Male
Sergei P. Kurdyumov,Male
Stafford Beer,Male
Stephanie Forrest,Female
Stuart Kauffman,Male
Stuart Umpleby,Male
Synergetics (Haken),Unknown
Valentin Turchin,Male
Valentino Braitenberg,Male
Victor Aladjev,Male
W. Ross Ashby,Unknown
Walter Bradford Cannon,Male
Walter Pitts,Male
Warren Sturgis McCulloch,Male
William Grey Walter,Male
William Ross Ashby,Male
