Name,Gender
Alexander Bogdanov,Male
Alexander Lerner,Male
Alfred Radcliffe-Brown,Male
Allenna Leonard,Unknown
Anatol Rapoport,Male
Andrew Pickering,Male
Anthony Stafford Beer,Male
Anthony Wilden,Male
Augusto Pinochet,Male
Barbara J. Grosz,Female
Bertram Myron Gross,Male
Brian R. Gaines,Male
Brighton Polytechnic,Unknown
Buckminster Fuller,Unknown
Béla H. Bánáthy,Male
C. West Churchman,Unknown
Charles A. McClelland,Male
Charles A. S. Hall,Male
Charles François (systems scientist),Male
Claude Bernard,Male
Claude Shannon,Male
Cybersyn,Unknown
Donella Meadows,Female
Edsger W. Dijkstra,Unknown
Edward Norton Lorenz,Male
Eric Trist,Male
Erich von Holst,Male
Ernst von Glasersfeld,Male
Faina Mihajlovna Kirillova,Female
Fernando Flores,Male
Francis Heylighen,Male
Francisco Varela,Male
Fred Emery,Male
Frederic Vester,Male
Genevieve Bell,Female
Geoffrey Vickers,Male
George Dantzig,Male
George Klir,Male
Gordon Pask,Male
Gordon S. Brown,Male
Gregory Bateson,Male
Hans Blohm,Male
Heinz von Foerster,Male
Howard T. Odum,Male
Humberto Maturana,Male
I. A. Richards,Unknown
Ian Beer (rugby union),Male
Igor Aleksander,Male
Jacque Fresco,Female
Jakob Johann von Uexküll,Male
James Grier Miller,Male
James J. Kay,Male
Jason Jixuan Hu,Male
Jay Wright Forrester,Male
Jennifer Wilby,Female
John A. Dillon,Male
John Milsum,Male
John N. Warfield,Male
John Seddon,Male
Kathleen Carley,Female
Kenneth E. Boulding,Male
Kevin Warwick,Male
Kjell Samuelson,Male
Lawrence B. Slobodkin,Male
Leon Trotsky,Male
Liverpool John Moores University,Unknown
Lydia Kavraki,Female
Maleyka Abbaszadeh,Unknown
Manuela M. Veloso,Female
Margaret Boden,Female
Margaret Mead,Female
Marian Mazur,Male
Mary Cartwright,Female
Mihajlo D. Mesarovic,Male
Mike Jackson (systems scientist),Male
Milton Rubin,Male
Murray Bowen,Male
N. Katherine Hayles,Unknown
Niklas Luhmann,Male
Norbert Wiener,Male
Peter Caws,Male
Peter Checkland,Male
Peter Senge,Male
Petro Grigorenko,Male
Project Cybersyn,Unknown
Qian Xuesen,Unknown
Radhika Nagpal,Female
Ranulph Glanville,Unknown
Richard E. Bellman,Male
Richard F. Ericson,Male
Robert Rosen (theoretical biologist),Male
Robert Trappl,Male
Roger Eddison,Male
Russell L. Ackoff,Male
Sergei P. Kurdyumov,Male
Stephanie Forrest,Female
Stuart Kauffman,Male
Stuart Umpleby,Male
Synergetics (Haken),Unknown
Valentin Turchin,Male
Valentino Braitenberg,Male
Victor Aladjev,Male
W. Ross Ashby,Unknown
Walter Bradford Cannon,Male
Walter Pitts,Male
Warren Sturgis McCulloch,Male
William Grey Walter,Male
William Ross Ashby,Male
