Name,Gender
A. J. Ayer,Unknown
Alan Turing,Male
Alexander Bain (philosopher),Male
Alexander Pruss,Male
Alfred North Whitehead,Male
Alfred Tarski,Male
Alice Crary,Female
Alvin Goldman,Male
Alvin Plantinga,Male
Andy Clark,Male
Anil Seth,Male
Annaka Harris,Unknown
Anne K. Churchland,Female
Antonio Damasio,Male
Arif Ahmed (philosopher),Male
Arthur Schopenhauer,Male
Barry Stroud,Male
Bas van Fraassen,Male
Benjamin Libet,Male
Bernard Baars,Male
Bernard Williams,Male
Bertrand Russell,Male
"Beyond Belief: Science, Religion, Reason and Survival",Unknown
Brian O'Shaughnessy (philosopher),Male
C. D. Broad,Unknown
Carl Gustav Hempel,Male
Carl Jung,Male
Casimir Lewy,Male
Charles Augustus Strong,Male
Charles Taylor (philosopher),Male
Christine Korsgaard,Female
Christof Koch,Male
Christopher Peacocke,Male
Colin McGinn,Male
Consciousness Explained,Unknown
Cora Diamond,Female
Damasio's theory of consciousness,Unknown
Daniel Dennett,Male
David Bohm,Male
David Chalmers,Male
David Hume,Male
David Lewis (philosopher),Male
David Malet Armstrong,Male
David Papineau,Male
David Pearce (philosopher),Male
Derek Parfit,Male
Donald D. Hoffman,Male
Donald Davidson (philosopher),Male
Douglas Hofstadter,Male
Edmund Gettier,Male
Edmund Husserl,Male
Ernest Nagel,Male
Ernest Sosa,Male
Erwin Schrödinger,Male
Eugene Wigner,Male
Francis Crick,Male
Francisco Varela,Male
Frank Cameron Jackson,Male
Frank P. Ramsey,Male
Franz Brentano,Male
Fred Dretske,Male
Friedrich Waismann,Male
G. E. M. Anscombe,Unknown
G. E. Moore,Unknown
Galen Strawson,Male
George Berkeley,Male
George Henry Lewes,Male
Georges Rey,Male
Gerald Edelman,Male
Gilbert Ryle,Male
Giulio Tononi,Male
Giuseppe Peano,Male
Gottfried Wilhelm Leibniz,Male
Graham Priest,Male
Hans Hahn (mathematician),Male
Hans Reichenbach,Male
Henri Bergson,Male
Ian Hacking,Male
Immanuel Kant,Male
J. J. C. Smart,Unknown
J. L. Austin,Unknown
J. L. Mackie,Unknown
Jaakko Hintikka,Male
Jaegwon Kim,Unknown
James F. Conant,Male
Jerry Fodor,Male
John Dupré,Male
John Eccles (neurophysiologist),Male
John Locke,Male
John McDowell,Male
John Polkinghorne,Male
John Rawls,Male
John Searle,Male
Jonas Salk,Male
Joseph Levine (philosopher),Male
Julian Jaynes,Male
Karl H. Pribram,Male
Karl Popper,Male
Keith Donnellan,Male
Keith Frankish,Male
Kenneth M. Sayre,Male
Kurt Gödel,Male
Kurt Koffka,Male
Larissa MacFarquhar,Female
Lawrence Weiskrantz,Male
Ludwig Wittgenstein,Male
Martin Heidegger,Male
Marvin Minsky,Male
Maurice Merleau-Ponty,Male
Max Planck,Male
Max Velmans,Male
Max Wertheimer,Male
Michael Dummett,Male
Michael Gazzaniga,Male
Michael Graziano,Male
Michael Tye (philosopher),Male
Michael Walzer,Male
Moritz Schlick,Male
Morton White,Male
Nancy Cartwright (philosopher),Female
Nathan Salmon,Male
Ned Block,Male
Nelson Goodman,Male
Nicholas Rescher,Male
Nicholas Wolterstorff,Male
Noam Chomsky,Male
Norman Malcolm,Male
Otto Neurath,Male
P. F. Strawson,Unknown
Patrick Suppes,Male
Patrick Wilken,Male
Paul Churchland,Male
Peter Galison,Male
Peter Geach,Male
Peter Singer,Male
Peter van Inwagen,Male
Philip Goff (philosopher),Male
Philosophy Bites,Unknown
R. M. Hare,Unknown
Richard Rorty,Male
Richard Swinburne,Male
Robert Audi,Male
Robert Brandom,Male
Robert Nozick,Male
Roderick Chisholm,Male
Rodolfo Llinás,Male
Roger Penrose,Male
Roger Wolcott Sperry,Male
Rudolf Carnap,Male
Russ Shafer-Landau,Male
Ruth Millikan,Female
Saul Kripke,Male
Sigmund Freud,Male
Stanislas Dehaene,Male
Stephen Yablo,Male
Steven Laureys,Male
Stuart Hameroff,Male
Susan Blackmore,Female
Susan Haack,Female
Terrence Sejnowski,Male
Thomas Aquinas,Male
Thomas Kuhn,Male
Thomas Metzinger,Male
Thomas Nagel,Male
Timothy Williamson,Male
Vancouver Sun,Unknown
Victor J. Stenger,Male
Vienna Circle,Female
Von Neumann–Wigner interpretation,Unknown
W. W. Norton & Company,Unknown
Wilhelm Wundt,Male
Willard Van Orman Quine,Male
William James,Male
William Kingdon Clifford,Male
William Lane Craig,Male
William Lycan,Male
William Seager (philosopher),Male
Wolf Singer,Male
Wolfgang Köhler,Male
Wolfgang Pauli,Male
Woodrow Wilson Fellowship,Male
Zhuang Zhou,Unknown
